keyword,company,score
강원랜드,강원랜드,1
최흥집,강원랜드,1
권성동,강원랜드,1
게임빌,게임빌,1
레모나,경남제약,1
경남제약,경남제약,1
경동나비엔,경동나비엔,1
디아지오,골프존,1
광림,광림,1
광주신세계,광주신세계,1
국동,국동,1
국보,국보,1
국순당,국순당,1
금호타이어,금호타이어,1
IBK,기업은행,1
기업은행,기업은행,1
표승주,기업은행,1
황하나,남양유업,1
남양유업,남양유업,1
이정인,남양유업,1
독자,남양유업,1
이낙연,남화토건,1
넥센,넥센,1
넥센타이어,넥센타이어,1
방준혁,넷마블,1
넷마블,넷마블,1
노바텍,노바텍,1
GC,녹십자,1
농심,농심,1
다날,다날,1
대림산업,대림산업,1
대우건설,대우건설,1
현대중공업,대우조선해양,1
대우조선해양,대우조선해양,1
대웅제약,대웅제약,1
전승호,대웅제약,1
대한항공,대한항공,1
조현아,대한항공,1
덕신하우징,덕신하우징,1
동방,동방,1
동서,동서,1
동성제약,동성제약,1
정로환,동성제약,1
동아쏘시오홀딩스,동아쏘시오홀딩스,1
동아지질,동아지질,1
동양,동양,1
두산,두산,1
김명우,두산중공업,1
두산중공업,두산건설,1
두산중공업,두산중공업,1
디오,디오,1
롯데정보통신,롯데정보통신,1
롯데제과,롯데제과,1
롯데푸드,롯데푸드,1
모비스,모비스,1
미래에셋대우,미래에셋대우,1
미래에셋벤처투자,미래에셋벤처투자,1
바이로메드,바이로메드,1
보령제약,보령제약,1
비상교육,비상교육,1
빙그레,빙그레,1
삼성물산,삼성물산,1
이부진,삼성물산,1
삼성,삼성물산,1
삼성바이오로직스,삼성바이오로직스,1
김용범,삼성바이오로직스,1
삼성생명,삼성생명,1
삼성물산,삼성생명,1
김한별,삼성생명,1
QLED,삼성전자,1
반도체,삼성전자,1
삼성전자,삼성전자,1
권오현,삼성전자,1
화웨이,삼성전자,1
데일리,삼성전자,1
김춘곤,삼성전자,1
이상철,삼성전자,1
주은기,삼성전자,1
삼성중공업,삼성중공업,1
삼성증권,삼성증권,1
LG화학,삼성SDI,1
배터리,삼성SDI,1
전기,삼성SDI,1
삼성SDI,삼성SDI,1
삼일제약,삼일제약,1
윤문균,삼호,1
함인희,상보,1
서산,서산,1
OLED,선익시스템,1
세아베스틸,세아베스틸,1
세아특수강,세아특수강,1
세원,세원,1
이낙연,세원,1
셀리버리,셀리버리,1
셀트리온,셀트리온,1
신라젠,신라젠,1
신세계푸드,신세계푸드,1
신한,신한,1
김영주,신한,1
조용병,신한,1
진옥동,신한,1
쎌바이오텍,쎌바이오텍,1
아모레퍼시픽,아모레퍼시픽,1
아시아경제,아시아경제,1
아시아나항공,아시아나항공,1
아이리버,아이리버,1
아이에스동서,아이에스동서,1
알파홀딩스,알파홀딩스,1
가습기,애경산업,1
야스,야스,1
한태근,에어부산,1
에어부산,에어부산,1
에이스침대,에이스침대,1
에이앤티앤,에이앤티앤,1
에프알텍,에프알텍,1
엔씨소프트,엔씨소프트,1
아라드,엔텔스,1
영우디에스피,영우디에스피,1
오뚜기,오뚜기,1
농심,오뚜기,1
오렌지라이프,오렌지라이프,1
인사,오렌지라이프,1
오리엔트바이오,오리엔트바이오,1
이규홍,오리온,1
오리온,오리온,1
웅진,오리온,1
윤호영,오리온,1
용평리조트,용평리조트,1
발왕산,용평리조트,1
우주일렉트로,우주일렉트로,1
우진,우진,1
김택수,우진,1
웅진,웅진,1
웅진씽크빅,웅진씽크빅,1
메리엄,웹스,1
위닉스,위닉스,1
유나이티드,유나이티드,1
유성기업,유성기업,1
유한양행,유한양행,1
이디,이디,1
정용진,이마트,1
르노삼성,이마트,1
이엘케이,이엘케이,1
이낙연,이월드,1
이월드,이월드,1
이지케어텍,이지케어텍,1
이선미,이테크건설,1
인터파크,인터파크,1
일동제약,일동제약,1
제낙스,제낙스,1
제이에스티나,제이에스티나,1
안용찬,제주항공,1
제주항공,제주항공,1
지역난방공사,지역난방공사,1
조양호,진에어,1
진에어,진에어,1
질경이,질경이,1
차바이오텍,차바이오텍,1
카카오,카카오,1
게임즈,카카오,1
택시,카카오,1
카풀,카카오,1
김범수,카카오,1
컴투스,컴투스,1
거래소,코렌텍,1
코오롱,코오롱,1
이웅열,코오롱,1
크로바하이텍,크로바하이텍,1
탑엔지니어링,탑엔지니어링,1
태광,태광,1
태광산업,태광산업,1
오퍼튜니티,태양,1
태양,태양,1
SBS,태영건설,1
현대캐피탈,태웅,1
테라젠이텍스,테라젠이텍스,1
블록체인,테스,1
코스닥,토필드,1
인앤아웃,투비소프트,1
티웨이항공,티웨이항공,1
영종도,파라다이스,1
용평리조트,파라다이스,1
파라다이스,파라다이스,1
파인텍,파인텍,1
김세권,파인텍,1
팬젠,팬젠,1
게임,펄어비스,1
포스코,포스코,1
황화수소,포스코,1
건물,포스코,1
정창화,포스코,1
이경섭,포스코,1
포스코케미칼,포스코케미칼,1
풀무원,풀무원,1
하나금융지주,하나금융지주,1
하림,하림,1
웅진,하이트론씨스템즈,1
하이트진로,하이트진로,1
하이트진로홀딩스,하이트진로홀딩스,1
한국가스공사,한국가스공사,1
한국전력공사,한국전력공사,1
한국타이어,한국타이어,1
한독,한독,1
한라,한라,1
정몽원,한라,1
김병준,한라,1
한솔홀딩스,한솔홀딩스,1
한송네오텍,한송네오텍,1
한전기술,한전기술,1
한진,한진,1
조양호,한진,1
대한항공,한진,1
KCGI,한진,1
한진,한진칼,1
한진칼,한진칼,1
국민,한진칼,1
KCGI,한진칼,1
강성부,한진칼,1
한컴MDS,한컴MDS,1
한화,한화,1
롯데카드,한화,1
이재갑,한화,1
현대차,한화,1
김승연,한화,1
한화에어로스페이스,한화에어로스페이스,1
해마로푸드서비스,해마로푸드서비스,1
